trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.002, 'e': 0.8089646975664998}",30,0,-171.93881045653228,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
108,False,"{'a': 0.002, 'e': 0.8073483850226815}",20,13,3.27000161942863,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.002, 'e': 0.8057353018734796}",20,0,-62.421396595998374,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.002, 'e': 0.8041254416665596}",25,0,-92.97279178075237,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
111,False,"{'a': 0.002, 'e': 0.8025187979624785}",20,0,-43.5733831943444,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
112,False,"{'a': 0.002, 'e': 0.8009153643346592}",20,0,-95.64872518319999,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
113,False,"{'a': 0.002, 'e': 0.7993151343693651}",20,0,12.52091686447117,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.002, 'e': 0.7977181016656743}",25,0,-47.561449447464774,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.002, 'e': 0.7961242598354538}",25,0,-201.51788855855725,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
116,False,"{'a': 0.002, 'e': 0.794533602503334}",20,0,-63.457319327651476,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
117,False,"{'a': 0.002, 'e': 0.7929461233066837}",25,0,-111.45136653363761,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
118,False,"{'a': 0.002, 'e': 0.7913618158955839}",20,0,-85.9086977831737,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
119,False,"{'a': 0.002, 'e': 0.7897806739328027}",25,0,-168.1872678925062,"{0: 9, 1: 5, 2: 9, 3: 1, 4: 1}",0
120,False,"{'a': 0.002, 'e': 0.7882026910937704}",25,0,-160.1194031197138,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
121,False,"{'a': 0.002, 'e': 0.7866278610665535}",25,0,-22.481026633747774,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
122,False,"{'a': 0.002, 'e': 0.7850561775518295}",25,0,-97.05583618691483,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
123,False,"{'a': 0.002, 'e': 0.7834876342628625}",20,0,-90.35249123342953,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
124,False,"{'a': 0.002, 'e': 0.7819222249254772}",25,0,-48.018530548996004,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
125,False,"{'a': 0.002, 'e': 0.7803599432780343}",30,0,-132.84981765990824,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 3}",0
126,False,"{'a': 0.002, 'e': 0.7788007830714049}",25,10,-135.93274987627927,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 3}",1
127,False,"{'a': 0.002, 'e': 0.7772447380689461}",20,0,-141.9293406807868,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
128,False,"{'a': 0.002, 'e': 0.775691802046476}",25,0,-108.21849555684295,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
